industry,real_time_requirement,data_volume,latency,security_concern,wireless_wired,energy_constraint,protocol
Agriculture,Low,Medium,High,Medium,Wired,Medium,MQTT
Manufacturing,Medium,Medium,Medium,High,Wireless,Low,MQTT
Energy,Medium,Medium,High,High,Wireless,Low,MQTT
Energy,Low,High,High,Medium,Wired,Low,PROFINET
Healthcare,Low,Medium,Low,Medium,Wireless,High,LoRaWAN
Retail,Low,High,High,Low,Wireless,Medium,OPC UA
Healthcare,Low,Medium,High,Medium,Wireless,Medium,OPC UA
Energy,Low,Medium,Low,High,Wireless,Low,PROFINET
Transportation,High,Medium,High,High,Wired,Medium,OPC UA
Healthcare,Low,High,Low,Medium,Wireless,High,LoRaWAN
Manufacturing,Medium,Low,Medium,High,Wireless,Medium,HTTPS
Retail,High,High,Medium,Medium,Wired,Low,PROFINET
Manufacturing,High,Medium,Medium,High,Wired,High,MQTT
Retail,Medium,High,Low,Low,Wired,Medium,PROFINET
Transportation,Medium,High,Low,High,Wired,Low,PROFINET
Energy,High,High,Low,Medium,Wired,High,EtherCAT
Transportation,High,Medium,High,Low,Wired,Low,EtherCAT
Manufacturing,Medium,Low,High,Low,Wireless,Medium,LoRaWAN
Energy,Medium,Low,Low,Low,Wired,Medium,PROFINET
Healthcare,Medium,Medium,Medium,High,Wired,High,HTTPS
Agriculture,Low,Medium,Low,Medium,Wireless,High,LoRaWAN
Manufacturing,High,Low,High,High,Wired,Low,HTTPS
Agriculture,Medium,Medium,Medium,Medium,Wired,Medium,OPC UA
Transportation,Medium,Medium,High,Medium,Wired,Low,MQTT
Healthcare,Medium,Medium,Medium,Low,Wired,Medium,HTTPS
Manufacturing,Medium,Low,High,Medium,Wireless,Low,MQTT
Energy,Medium,Low,High,Low,Wired,Low,MQTT
Healthcare,High,Low,Medium,Low,Wireless,Medium,MQTT
Energy,High,High,Low,Medium,Wired,High,EtherCAT
Agriculture,Medium,Medium,Low,High,Wired,High,HTTPS
Agriculture,Low,Low,High,High,Wireless,Low,LoRaWAN
Manufacturing,High,Medium,Medium,Medium,Wired,High,MQTT
Retail,High,Medium,Low,High,Wireless,High,OPC UA
Energy,Low,Low,Low,Medium,Wireless,High,LoRaWAN
Agriculture,Medium,High,Low,Medium,Wired,Low,PROFINET
Agriculture,High,Medium,Low,Low,Wired,Medium,EtherCAT
Manufacturing,High,Low,Low,Low,Wired,Low,EtherCAT
Energy,Low,High,Low,High,Wired,Low,PROFINET
Retail,Low,Low,High,Medium,Wired,Low,OPC UA
Transportation,High,Medium,Low,Medium,Wired,Medium,EtherCAT
Healthcare,Medium,Medium,Medium,Low,Wired,Medium,EtherCAT
Healthcare,Low,High,Medium,High,Wireless,High,LoRaWAN
Healthcare,Medium,Low,Low,Low,Wireless,Medium,OPC UA
Transportation,High,High,Low,High,Wireless,High,OPC UA
Retail,High,High,Low,Medium,Wireless,Medium,EtherCAT
Healthcare,Medium,Low,High,High,Wireless,Medium,HTTPS
Energy,Medium,High,High,High,Wired,Low,PROFINET
Transportation,Medium,High,High,Low,Wired,High,PROFINET
Agriculture,Medium,High,Low,High,Wired,Medium,PROFINET
Energy,Low,Medium,Low,Medium,Wired,Low,HTTPS
Retail,High,Low,Low,Medium,Wired,Low,EtherCAT
Healthcare,Low,Low,Medium,High,Wireless,Medium,HTTPS
Energy,Low,Low,Low,Medium,Wired,Medium,EtherCAT
Energy,Low,Low,Medium,High,Wired,High,PROFINET
Healthcare,Low,Low,Low,Low,Wired,High,OPC UA
Manufacturing,Low,High,High,Low,Wireless,High,LoRaWAN
Agriculture,High,Low,Medium,Low,Wireless,Low,LoRaWAN
Manufacturing,High,Medium,Low,High,Wired,Low,OPC UA
Agriculture,Low,Low,Low,Low,Wired,Low,OPC UA
Energy,High,Low,Medium,High,Wireless,High,EtherCAT
Energy,Low,Medium,Medium,High,Wireless,Medium,PROFINET
Energy,Low,Medium,Medium,Low,Wired,High,PROFINET
Healthcare,High,Low,Medium,Medium,Wired,Medium,HTTPS
Healthcare,High,Medium,Medium,Low,Wired,Medium,HTTPS
Transportation,High,High,Low,Medium,Wireless,Low,EtherCAT
Agriculture,Low,Medium,High,Medium,Wired,Medium,PROFINET
Energy,High,High,High,High,Wired,High,PROFINET
Retail,Low,Low,Medium,Medium,Wired,Low,OPC UA
Healthcare,Low,Medium,Medium,High,Wired,High,PROFINET
Agriculture,Low,Medium,Low,High,Wireless,High,LoRaWAN
Healthcare,Low,Medium,Medium,High,Wired,Medium,OPC UA
Transportation,Medium,Medium,Low,Medium,Wireless,High,OPC UA
Manufacturing,Low,Medium,Low,High,Wired,Low,LoRaWAN
Retail,High,High,Low,Low,Wired,Low,EtherCAT
Transportation,High,Low,Medium,High,Wired,Medium,HTTPS
Agriculture,High,Low,Medium,High,Wired,Low,EtherCAT
Manufacturing,Low,High,Low,Low,Wired,High,PROFINET
Healthcare,Low,High,Low,Medium,Wired,Low,PROFINET
Transportation,High,Medium,High,Low,Wired,High,HTTPS
Manufacturing,Low,Low,Low,Medium,Wired,Low,LoRaWAN
Healthcare,Low,Medium,High,High,Wireless,Medium,LoRaWAN
Healthcare,High,Low,Low,Low,Wireless,Low,EtherCAT
Retail,Medium,Medium,High,Medium,Wireless,Low,MQTT
Agriculture,Low,Medium,Medium,Low,Wired,High,HTTPS
Energy,Medium,High,Low,High,Wireless,Low,MQTT
Agriculture,Medium,Medium,Low,Low,Wireless,High,PROFINET
Agriculture,Medium,High,High,Low,Wired,Medium,PROFINET
Retail,Low,Medium,Medium,High,Wired,Medium,OPC UA
Healthcare,Low,High,Low,Medium,Wired,Medium,PROFINET
Agriculture,Low,High,Low,Medium,Wired,High,PROFINET
Manufacturing,Low,Low,Medium,Low,Wired,High,EtherCAT
Healthcare,High,Medium,Medium,Low,Wireless,Low,PROFINET
Energy,High,Low,Medium,Low,Wired,Medium,PROFINET
Retail,High,Medium,Low,High,Wireless,High,OPC UA
Transportation,High,Low,Low,Medium,Wireless,Low,EtherCAT
Manufacturing,Medium,Medium,Low,Medium,Wired,Medium,EtherCAT
Energy,Low,Low,Low,High,Wireless,Medium,OPC UA
Energy,High,High,Medium,High,Wired,High,PROFINET
Manufacturing,High,Medium,Medium,Medium,Wireless,Medium,HTTPS
Healthcare,Medium,High,Low,Medium,Wireless,Low,MQTT
Energy,Medium,High,High,Low,Wired,High,PROFINET
Retail,Low,Medium,Low,Low,Wireless,Medium,OPC UA
Energy,Low,High,Low,Medium,Wired,High,PROFINET
Transportation,High,Medium,Low,Medium,Wireless,Medium,EtherCAT
Energy,High,High,High,High,Wireless,Low,PROFINET
Agriculture,Medium,Low,High,Medium,Wired,High,OPC UA
Transportation,Medium,Low,High,High,Wireless,Low,MQTT
Agriculture,Low,Medium,High,High,Wireless,Medium,HTTPS
Healthcare,Medium,Medium,Medium,High,Wired,Low,MQTT
Retail,Low,High,Low,High,Wired,High,PROFINET
Healthcare,High,Low,Low,Low,Wired,Low,EtherCAT
Manufacturing,Low,Medium,Low,Medium,Wireless,Medium,OPC UA
Transportation,Medium,High,Low,High,Wireless,Low,MQTT
Transportation,Low,Medium,High,Medium,Wireless,Medium,LoRaWAN
Transportation,Medium,Low,Low,Medium,Wireless,High,PROFINET
Energy,High,High,High,Medium,Wireless,High,LoRaWAN
Retail,High,High,High,Medium,Wired,Low,PROFINET
Healthcare,Low,High,Medium,Low,Wireless,Medium,LoRaWAN
Manufacturing,Medium,Medium,High,Medium,Wired,Low,MQTT
Energy,High,Low,Medium,Medium,Wireless,Medium,OPC UA
Manufacturing,Medium,Low,Low,Low,Wired,Medium,LoRaWAN
Energy,High,Low,High,Low,Wired,Medium,MQTT
Energy,Medium,Medium,High,Low,Wireless,High,EtherCAT
Retail,Medium,Medium,Low,Medium,Wired,Low,MQTT
Energy,High,Low,High,Low,Wireless,High,OPC UA
Retail,High,High,High,High,Wireless,Medium,PROFINET
Retail,Low,High,Medium,Medium,Wireless,High,LoRaWAN
Manufacturing,High,Medium,Low,High,Wireless,Medium,OPC UA
Energy,Medium,Medium,Medium,High,Wired,Low,MQTT
Manufacturing,Low,Low,Medium,Medium,Wireless,Low,EtherCAT
Retail,Low,Low,Low,Medium,Wireless,Low,MQTT
Retail,Low,Low,High,Medium,Wireless,Low,OPC UA
Transportation,Low,Low,High,Medium,Wired,High,OPC UA
Agriculture,Low,High,Low,Medium,Wireless,Medium,PROFINET
Retail,Low,Low,Medium,Low,Wireless,High,LoRaWAN
Manufacturing,High,Medium,Medium,Low,Wired,Medium,PROFINET
Retail,High,High,Medium,High,Wireless,High,PROFINET
Healthcare,Low,Medium,Low,Medium,Wireless,Low,EtherCAT
Agriculture,Medium,Low,High,Low,Wired,Low,MQTT
Healthcare,Low,High,Low,Medium,Wireless,High,LoRaWAN
Healthcare,Medium,Medium,High,High,Wired,High,HTTPS
Healthcare,Medium,Medium,Medium,Medium,Wired,Medium,HTTPS
Agriculture,Low,Medium,Medium,Medium,Wireless,Low,HTTPS
Transportation,Medium,Low,High,Low,Wired,Low,MQTT
Manufacturing,Medium,Low,High,High,Wired,Low,MQTT
Agriculture,Medium,High,Medium,High,Wired,High,PROFINET
Healthcare,Medium,Low,Medium,Medium,Wired,Low,MQTT
Transportation,Low,Medium,Low,Medium,Wireless,Medium,EtherCAT
Manufacturing,High,Medium,Medium,Low,Wired,Medium,OPC UA
Agriculture,High,Low,High,High,Wired,Low,OPC UA
Transportation,High,High,High,High,Wireless,High,OPC UA
Agriculture,High,Low,Low,High,Wireless,Low,OPC UA
Manufacturing,High,Medium,Low,Low,Wired,High,EtherCAT
Transportation,Low,High,Low,High,Wireless,Medium,MQTT
Transportation,Medium,Medium,Medium,Low,Wireless,High,OPC UA
Retail,High,Medium,Medium,High,Wired,High,PROFINET
Energy,Medium,Medium,Medium,Medium,Wireless,Medium,EtherCAT
Healthcare,Low,High,High,Low,Wired,Medium,PROFINET
Agriculture,Low,Low,High,Low,Wired,High,EtherCAT
Energy,Medium,High,Medium,Low,Wired,Medium,PROFINET
Transportation,Medium,High,Low,High,Wireless,High,HTTPS
Agriculture,Low,Low,High,Low,Wireless,Low,HTTPS
