industry,data_volume,latency_requirement,connectivity_type,security_requirement,data_analytics_requirement,deployment_environment,technology
Manufacturing,Medium,Medium,Wired,Medium,No,Edge,Edge Computing
Retail,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,High,High,Wireless,Low,No,On-Premise,Edge Computing
Transportation,High,High,Wired,High,No,Cloud,SCADA
Manufacturing,High,Low,Wired,Low,Yes,Cloud,OPC UA
Agriculture,Low,Medium,Wireless,High,Yes,Cloud,Blockchain
Retail,Medium,Medium,Wired,Low,No,Edge,Edge Computing
Manufacturing,High,High,Wired,Low,Yes,On-Premise,AI/ML
Manufacturing,Medium,Low,Wireless,Low,Yes,On-Premise,OPC UA
Transportation,High,High,Wired,Medium,Yes,Cloud,AI/ML
Healthcare,Low,Medium,Wireless,High,No,Cloud,Blockchain
Retail,Medium,Low,Wired,Low,Yes,Cloud,SCADA
Healthcare,Medium,Low,Wireless,Low,Yes,On-Premise,PLCs
Agriculture,High,High,Wireless,Medium,No,Cloud,Blockchain
Energy,High,Low,Wired,High,No,Cloud,SCADA
Agriculture,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Agriculture,High,High,Wired,Low,No,Edge,Blockchain
Transportation,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Manufacturing,Low,Low,Wired,High,No,On-Premise,SCADA
Healthcare,Low,Medium,Wireless,Low,Yes,Cloud,MQTT
Healthcare,Low,High,Wired,Low,No,Edge,Cloud Computing
Transportation,High,Medium,Wireless,High,Yes,Edge,MQTT
Transportation,Medium,High,Wired,High,No,Cloud,Cloud Computing
Energy,Medium,Low,Wireless,Low,Yes,Cloud,OPC UA
Retail,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Retail,Low,High,Wired,High,Yes,On-Premise,Blockchain
Transportation,Low,Medium,Wireless,Medium,Yes,Edge,AI/ML
Retail,Medium,High,Wired,High,No,Edge,Edge Computing
Agriculture,Low,High,Wireless,High,No,Cloud,OPC UA
Manufacturing,Medium,Medium,Wireless,Low,Yes,On-Premise,OPC UA
Energy,Medium,Low,Wired,High,Yes,Cloud,SCADA
Transportation,Medium,Medium,Wired,Low,Yes,Edge,Edge Computing
Transportation,High,Medium,Wireless,Medium,Yes,On-Premise,MQTT
Energy,Low,High,Wired,Medium,No,Edge,Cloud Computing
Transportation,Low,High,Wired,Low,Yes,Edge,Blockchain
Transportation,High,Low,Wireless,Medium,No,Cloud,PLCs
Manufacturing,High,Medium,Wireless,High,Yes,Cloud,AI/ML
Manufacturing,High,High,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Low,Low,Wired,Medium,No,On-Premise,SCADA
Manufacturing,Low,Low,Wireless,High,Yes,On-Premise,SCADA
Energy,Low,Low,Wired,High,Yes,Cloud,SCADA
Agriculture,Medium,Medium,Wired,Medium,Yes,On-Premise,PLCs
Manufacturing,Low,Medium,Wired,Medium,Yes,Edge,Blockchain
Retail,High,Medium,Wired,Medium,No,Cloud,Blockchain
Agriculture,High,Low,Wired,Low,Yes,On-Premise,SCADA
Manufacturing,Low,High,Wired,Low,Yes,On-Premise,Cloud Computing
Agriculture,High,High,Wireless,High,Yes,Edge,SCADA
Energy,Medium,Medium,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,Low,High,Wired,High,No,Cloud,OPC UA
Retail,High,Medium,Wired,Medium,No,Cloud,AI/ML
Healthcare,Medium,High,Wireless,Low,No,On-Premise,SCADA
Energy,Low,Medium,Wireless,High,Yes,Edge,SCADA
Energy,High,Medium,Wired,High,No,Edge,Blockchain
Healthcare,Medium,High,Wired,Low,No,On-Premise,Blockchain
Agriculture,Low,Low,Wired,Low,No,Cloud,SCADA
Energy,Medium,High,Wired,High,Yes,On-Premise,MQTT
Transportation,Low,Medium,Wireless,Medium,No,Edge,OPC UA
Agriculture,Medium,High,Wired,Medium,No,Cloud,AI/ML
Healthcare,High,Low,Wireless,Low,No,Cloud,Blockchain
Manufacturing,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Retail,Low,High,Wired,Low,Yes,On-Premise,MQTT
Energy,Medium,High,Wireless,High,Yes,Edge,Edge Computing
Manufacturing,Low,High,Wired,Low,Yes,On-Premise,SCADA
Manufacturing,Medium,Low,Wireless,High,Yes,Cloud,AI/ML
Agriculture,High,Medium,Wireless,Low,No,Cloud,MQTT
Agriculture,Low,Medium,Wired,Medium,Yes,Cloud,AI/ML
Retail,Medium,Medium,Wireless,Low,No,Cloud,Blockchain
Healthcare,Medium,Low,Wireless,Medium,Yes,Cloud,AI/ML
Transportation,Medium,High,Wired,Medium,No,Edge,Edge Computing
Healthcare,High,Medium,Wireless,High,Yes,Cloud,Blockchain
Transportation,Low,High,Wireless,High,Yes,Edge,Edge Computing
Agriculture,High,Medium,Wired,High,Yes,On-Premise,MQTT
Energy,High,High,Wired,Low,Yes,Edge,Blockchain
Retail,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Healthcare,Medium,High,Wireless,High,No,On-Premise,Blockchain
Manufacturing,Medium,Medium,Wired,Medium,No,Edge,Edge Computing
Energy,Low,Medium,Wired,Low,Yes,On-Premise,MQTT
Healthcare,Low,Low,Wired,Low,Yes,Edge,SCADA
Energy,Medium,Low,Wireless,Low,No,Edge,Edge Computing
Retail,Low,Medium,Wireless,Low,Yes,On-Premise,Edge Computing
Retail,Low,High,Wireless,Medium,No,On-Premise,PLCs
Transportation,Low,High,Wired,Low,No,Edge,OPC UA
Manufacturing,Medium,Medium,Wired,Low,No,Cloud,SCADA
Retail,Low,Low,Wired,Medium,Yes,Edge,SCADA
Transportation,Low,High,Wired,Low,No,Edge,Cloud Computing
Healthcare,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Agriculture,Medium,High,Wired,Medium,No,Edge,Edge Computing
Energy,Medium,High,Wireless,Medium,Yes,Edge,Edge Computing
Transportation,Medium,Low,Wireless,High,No,On-Premise,AI/ML
Energy,High,Low,Wireless,Low,Yes,On-Premise,Cloud Computing
Transportation,High,Low,Wired,Low,No,Edge,SCADA
Healthcare,Low,High,Wireless,Medium,No,Cloud,AI/ML
Manufacturing,High,Medium,Wired,High,Yes,On-Premise,Cloud Computing
Transportation,High,Medium,Wired,Low,No,Edge,SCADA
Transportation,Medium,Medium,Wired,High,No,Edge,Edge Computing
Energy,Medium,Medium,Wired,High,Yes,Edge,Edge Computing
Manufacturing,Medium,Medium,Wired,High,No,Edge,Edge Computing
Healthcare,Medium,High,Wireless,Medium,Yes,On-Premise,PLCs
Transportation,High,Medium,Wireless,Low,No,On-Premise,SCADA
Agriculture,Medium,Medium,Wired,Medium,Yes,Cloud,Blockchain
Transportation,Low,Medium,Wired,Medium,No,Cloud,Edge Computing
Transportation,High,Low,Wireless,High,Yes,Edge,SCADA
Energy,High,Medium,Wired,High,Yes,Edge,Cloud Computing
Manufacturing,Low,Low,Wireless,Low,Yes,On-Premise,OPC UA
Retail,High,High,Wireless,Medium,No,On-Premise,MQTT
Retail,Low,High,Wired,Medium,No,On-Premise,AI/ML
Healthcare,High,Low,Wired,High,No,Cloud,Blockchain
Manufacturing,Low,Low,Wired,High,Yes,Cloud,SCADA
Retail,Medium,High,Wired,High,No,Cloud,Blockchain
Healthcare,Medium,Low,Wired,Low,Yes,Cloud,SCADA
Retail,Medium,Medium,Wireless,Medium,No,Edge,Edge Computing
Retail,High,Low,Wired,Medium,No,Edge,SCADA
Healthcare,Medium,High,Wired,High,Yes,Edge,Blockchain
Manufacturing,Medium,High,Wireless,Medium,Yes,Edge,Edge Computing
Retail,Medium,High,Wireless,Medium,No,Edge,Edge Computing
Manufacturing,Medium,Low,Wired,Medium,Yes,On-Premise,SCADA
Agriculture,Medium,Low,Wired,Medium,Yes,Edge,SCADA
Energy,Low,High,Wired,High,No,On-Premise,Edge Computing
Manufacturing,High,Low,Wireless,High,Yes,On-Premise,OPC UA
Retail,Low,Low,Wired,Medium,Yes,Cloud,SCADA
Healthcare,Low,Medium,Wireless,Medium,No,Cloud,Blockchain
Healthcare,High,Medium,Wired,High,Yes,On-Premise,Blockchain
Manufacturing,Medium,Low,Wireless,Medium,Yes,Edge,Edge Computing
Healthcare,Low,High,Wireless,Low,Yes,Edge,SCADA
Manufacturing,High,Low,Wired,Medium,Yes,Cloud,OPC UA
Agriculture,High,Medium,Wired,Low,No,Edge,Cloud Computing
Transportation,High,Medium,Wired,Low,No,Edge,OPC UA
Transportation,Low,High,Wired,High,Yes,On-Premise,Blockchain
Transportation,Medium,High,Wireless,Medium,No,Edge,Edge Computing
Agriculture,Medium,Medium,Wired,High,Yes,On-Premise,Blockchain
Retail,Medium,High,Wired,High,Yes,On-Premise,PLCs
Healthcare,High,Low,Wired,Medium,No,Edge,SCADA
Agriculture,High,Low,Wired,Medium,No,Edge,SCADA
Agriculture,High,Low,Wired,Medium,Yes,On-Premise,SCADA
Healthcare,Low,High,Wired,Medium,Yes,Edge,SCADA
Healthcare,Low,Medium,Wired,Low,No,Cloud,PLCs
Transportation,Low,High,Wired,Medium,No,Cloud,Blockchain
Healthcare,High,Medium,Wired,Medium,Yes,On-Premise,Edge Computing
Energy,High,Low,Wired,Medium,Yes,Edge,SCADA
Retail,Low,Medium,Wireless,Low,Yes,On-Premise,AI/ML
Transportation,Low,High,Wireless,Medium,No,Cloud,MQTT
